Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính
1SC0E6,"Thửa 656 - tờ 8 Thái Mỹ, Xã Thái Mỹ, H.Củ Chi, TP.HCM",850.0,0.67,Đất,17.01m,73.16m,Đông
3A4PDQ,"Thửa 551 - tờ 87 đường 682, Xã Thái Mỹ, H.Củ Chi, TP.HCM",900.0,6.0,Đất,5m,30.01m,Đông Nam
QYF7SU,"Thửa 913 - Tờ 48 đường 339, Phước Long B, Q.9, TP.HCM",6100000.0,104.81,Đất,4m,14.93m,Tây Nam
CR9D8B,"Thửa 2010 - Tờ 3 đường TL50, P.Thạnh Lộc, Q.12, TP.HCM",3700000.0,18.5,Đất,10m,20m,Tây Bắc
QYAN3U,"Thửa 609 - tờ 11 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",2300000.0,18.19,Đất,6.05m,22.11m,Đông Nam
5KA8U7,"Thửa 735 - tờ 26 Trung Lập, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",980.0,9.5,Đất,7.74m,13.93m,Đông
6SV1U8,"Thửa 152 - tờ 24 Trung An, Xã Trung An, H.Củ Chi, TP.HCM",5600000.0,10.96,Đất,20m,24.07m,Bắc
7KSGPA,"Thửa 119 - tờ 43 Bình Mỹ, Xã Bình Mỹ, H.Củ Chi, TP.HCM",3000000.0,11.91,Đất,12m,17m,Tây Nam
ACUPUY,"Thửa 818 - tờ 41 Thạnh Xuân 24, P.Thạnh Xuân, Q.12, TP.HCM",4990000.0,58.02,Đất,4.78m,16.74m,Tây Bắc
85MHU3,"MP 91/2A ( Thửa 1914 - tờ 22) Thới An 18, P.Thới An, Q.12, TP.HCM",6850000.0,52.29,Đất,5.01m,25.96m,Nam
QA0VGU,"Thửa 602 - tờ 11 đường 493, Xã Tân An Hội, H.Củ Chi, TP.HCM",2000000.0,16.82,Đất,5m,23.9m,Bắc
1U4BU6,"đường số 63, An Phú, Q.2, TP.HCM",45000000.0,249.03,Đất,10m,18.07m,Bắc
6S4MF8,"Thửa 268 - tờ 28 Phước Thạnh, Xã Phước Thạnh, H.Củ Chi, TP.HCM",6990000.0,3.4,Đất,20m,107.43m,Đông Bắc
KFN6WC,"Thửa 543 - Tờ 43 Khu phố 4, P.Hiệp Thành, Q.12, TP.HCM",9000000.0,26.32,Đất,5.48m,24.23m,Tây Bắc
QAW6XU,"Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",3950000.0,64.96,Đất,4.02m,15.67m,Bắc
7K96YA,"Thửa 627 - tờ 24 Bà Thiên, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2029999.9999999998,3.67,Đất,23.61m,29.23m,Đông
YBGP8D,"Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",2950000.0,48.12,Đất,4m,15.36m,Bắc
SDWVK5,"Thửa 578 - tờ 11 Trung An, Xã Trung An, H.Củ Chi, TP.HCM",2600000.0,13.66,Đất,6.5m,30.53m,Tây Nam
KFP5XC,"Thửa 538 - tờ 30 đường 374, Xã Tân An Hội, H.Củ Chi, TP.HCM",2000000.0,7.14,Đất,10m,28m,Tây Bắc
J2M8Q0,"310/41 Bùi Công Trừng, P.Thạnh Xuân, Q.12, TP.HCM",4980000.0,52.09,Đất,5.79m,15.7m,Đông Bắc
QAHMKU,"Thửa 170 - tờ 31 Giồng Cát, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",2000000.0,14.69,Đất,5.3m,25.7m,Tây
DEWQ8H,"Thửa 621 - tờ 16 Kênh Đông, Xã Phước Thạnh, H.Củ Chi, TP.HCM",4000000.0,3.95,Đất,20m,53.97m,Đông Nam
85AQ43,"Thửa 1017 - tờ 27 Bến Than, Xã Hòa Phú, H.Củ Chi, TP.HCM",5900000.0,23.13,Đất,7.05m,35.16m,Tây Bắc
DE455H,"Thửa 639 - tờ 40 Phan Thị So, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",7000000.0,7.32,Đất,28.6m,32.57m,Đông Nam
UYDWDS,"Thửa 1546 - tờ 59 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",2950000.0,59.0,Đất,4.36m,11.51m,Tây Bắc
6S5BQ8,"Thửa 1547 - tờ 59 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",2950000.0,59.0,Đất,4.39m,11.44m,Tây Bắc
5HH4C7,"Thửa 712 - tờ 47 Bến Than, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1650000.0,13.31,Đất,5m,22.75m,Đông Bắc
7KHMPA,"Thửa 651 - tờ 66 Gốc Rưng, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",680.0,1.34,Đất,10.6m,46.92m,Đông Nam
KF48VC,"Thửa 142 - tờ 2 Trung An, Xã Trung An, H.Củ Chi, TP.HCM",7500000.0,8.7,Đất,17.82m,49.62m,Đông Nam
6SQ008,"Thửa 932 - tờ 74 đường 25, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",3000000.0,23.79,Đất,5m,25.34m,Tây Nam
0ZP4N9,"Thửa 737 - tờ 20 Bà Thiên, Xã Nhuận Đức, H.Củ Chi, TP.HCM",950.0,9.58,Đất,5.2m,19.22m,Đông
WPJKNR,"Thửa 542 - tờ 49 đường 490, Xã Phạm Văn Cội, H.Củ Chi, TP.HCM",3000000.0,11.07,Đất,10m,27.12m,Tây Bắc
40WZ6F,"Thửa 734 - tờ 46 đường 122, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2000000.0,13.78,Đất,5m,29.26m,Tây Nam
37UHYQ,"131/6/1/20 Tây Lân, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",4000000.0,63.49,Đất,4.4m,14.4m,Đông Nam
UA3RWS,"Thửa 705 - tờ 97 đường 175, Tăng Nhơn Phú A, Q.9, TP.HCM",6600000.0,100.6,Đất,4.06m,15.7m,Đông Bắc
1QXJX6,"Nguyễn Ảnh Thủ, P.Tân Chánh Hiệp, Q.12, TP.HCM",8000000.0,55.17,Đất,17m,22m,
Q7PTFU,"Số 117 ( Thửa 931 - tờ 210 ) đường số 5, P.7, Q.8, TP.HCM",8000000.0,60.6,Đất,6m,22m,Tây Bắc
1AHNT6,"Thửa 533 - tờ số 46 Quốc Lộ 22, Xã Tân Hiệp, H.Hóc Môn, TP.HCM",40000000.0,10.63,Đất,51m,70m,Đông Nam
UCYVDS,"Thửa 608 - tờ 112 Mỹ Huề, Xã Trung Chánh, H.Hóc Môn, TP.HCM",3500000.0,38.93,Đất,5m,17.48m,Đông Bắc
AFC8AY,"Thửa 609 - tờ 112 Mỹ Huề, Xã Trung Chánh, H.Hóc Môn, TP.HCM",3500000.0,39.77,Đất,5m,18.31m,Đông Bắc
74KYSA,"Thửa 943 - tờ 74 Liêu Bình Hương, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2049999.9999999998,18.99,Đất,5m,22.79m,Tây Bắc
74HGEA,"Thửa 40 - Tờ 15 Hà Huy Giáp, P.Thạnh Xuân, Q.12, TP.HCM",22800000.0,1.14,Đất,326m,16.5m,Nam
42RTUF,"42A Trần Huy Liệu, P.11, Q.Phú Nhuận, TP.HCM",160000000.0,164.54,Đất,27.76m,44.88m,Tây Nam
UC5DDS,"Thửa 10 - tờ 24 Tỉnh Lộ 8, Xã Hòa Phú, H.Củ Chi, TP.HCM",13000000.0,13.88,Đất,12.3m,56m,Bắc
5B5SD7,"Thửa 1105 - tờ 56 Võ Thị Thừa, P.An Phú Đông, Q.12, TP.HCM",3300000.0,62.85,Đất,4m,13.14m,Tây Bắc
7E7UVA,"Thửa 1106 - tờ 56 Võ Thị Thừa, P.An Phú Đông, Q.12, TP.HCM",3300000.0,62.73,Đất,4m,13.18m,Tây Bắc
UK8GDS,"TK46/7 (Thửa 192 - tờ 12) Võ Văn Kiệt, P.Cầu Kho, Q.1, TP.HCM",8950000.0,237.4,Đất,3.3m,12.23m,Đông Bắc
3DV8AQ,"Thửa 750 - Tờ 10 đường 460, Xã Trung An, H.Củ Chi, TP.HCM",2500000.0,19.31,Đất,5m,26m,Đông Bắc
6AXV68,"Thửa 749 - Tờ 10 đường 460, Xã Trung An, H.Củ Chi, TP.HCM",2500000.0,19.29,Đất,5m,26m,Đông Bắc
7EQCFA,"Thửa 850 - tờ 10 ấp 6, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2400000.0,22.66,Đất,5m,19.41m,Đông Nam
17NQF6,"Thửa 352 - tờ 269 Phan Huy Ích, P.14, Q.Gò Vấp, TP.HCM",8000000.0,123.07,Đất,4m,16.25m,Nam
JN4PY0,"Thửa 351 - tờ 269 Phan Huy Ích, P.14, Q.Gò Vấp, TP.HCM",8000000.0,123.07,Đất,4m,16.25m,Nam
DW32YH,"Thửa 1286 - Tờ 73 Thạnh Xuân 25, P.Thạnh Xuân, Q.12, TP.HCM",4690000.0,58.62,Đất,5m,16m,Đông
7E19MA,"317/20 Thống Nhất, P.11, Q.Gò Vấp, TP.HCM",5850000.0,133.25,Đất,5.42m,9.35m,Đông
5BVK27,"Thửa 1503 - tờ 33 Thạnh Lộc 16, P.An Phú Đông, Q.12, TP.HCM",3600000.0,50.84,Đất,4.34m,15.37m,Tây Nam
5BMAG7,"Thửa 990 - Tờ 4 Thạnh Lộc 47, P.Thạnh Lộc, Q.12, TP.HCM",3200000.0,45.07,Đất,5m,14m,Đông Bắc
4G54SF,"Thửa 913 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",4250000.0,56.06,Đất,5.33m,16.31m,Đông Bắc
1791R6,"Thửa 912 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",4150000.0000000005,66.08,Đất,4.95m,14.58m,Đông Bắc
YF1YED,"Thửa 911 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",4550000.0,57.74,Đất,6.41m,14.16m,Đông Bắc
3D2DPQ,"Thửa 1073 - Tờ 3 Quốc Lộ 1A, P.An Phú Đông, Q.12, TP.HCM",3900000.0,45.34,Đất,5.8m,15m,Nam
26ENXZ,"Thửa 1105 - Tờ 75 Võ Thị Liễu, P.An Phú Đông, Q.12, TP.HCM",4500000.0,80.35,Đất,4.3m,13m,Đông Bắc
A4220Y,"2/29 Tổ 4 - KP1, P.Thạnh Lộc, Q.12, TP.HCM",5400000.0,54.76,Đất,,,Tây Nam
C0MMEB,"376 Tổ 6, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",2200000.0,6.03,Đất,,,Nam
UK0RWS,"104 Trang Tử, P.02, Q.6, TP.HCM",2800000.0,31.12,Đất,,,Bắc
JNU360,"46 Trần Thị Năm, P.Tân Chánh Hiệp, Q.12, TP.HCM",7300000.0,56.06,Đất,,,Tây Nam
3DR43Q,"5G Hẻm 6, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",7400000.0,40.0,Đất,,,Tây Bắc
KJN60C,"17/9 TL 44, P.Thạnh Lộc, Q.12, TP.HCM",5900000.0,43.06,Đất,,,Đông Nam
PV53SG,"98 ấp 2, Xã Long Thới, H.Nhà Bè, TP.HCM",2700000.0,19.25,Đất,,,Đông Nam
5BR567,"Thửa 569 - Tờ 67 Thạnh Xuân 13, P.Thạnh Xuân, Q.12, TP.HCM",4400000.0,40.0,Đất,8m,14m,Tây Bắc
A40UUY,"Thửa 910 - Tờ 110 Thạnh Xuân 14, P.Thới An, Q.12, TP.HCM",3600000.0,34.28,Đất,6m,17m,Đông Nam
7ERXHA,"Thửa 624 - Tờ 37 An Phú Đông 3, P.An Phú Đông, Q.12, TP.HCM",2700000.0,24.32,Đất,8m,14m,Đông Bắc
3DY6XQ,"24 Long Thuận, Trường Thạnh, Q.9 cũ, TP.HCM",4200000.0,52.5,Đất,6.5m,,Đông Bắc
UKH3XS,"6 Rừng Sác, Xã Bình Khánh, H.Cần Giờ, TP.HCM",2500000.0,27.77,Đất,5m,18m,Đông
5BKRW7,"Thạnh Lộc 16, P.Thạnh Lộc, Q.12, TP.HCM",1700000.0,36.17,Đất,5m,9.5m,Tây Nam
QH723U,"Thửa 970 - Tờ 8 Bưng Tràm, Xã Tân Thạnh Tây, H.Củ Chi, TP.HCM",1150000.0,1.76,Đất,10m,61.28m,Tây Bắc
6A3Z98,"Thửa 554 - Tờ 7 Thạnh Lộ 40, P.Thạnh Lộc, Q.12, TP.HCM",4250000.0,55.55,Đất,4.5m,17m,
7B5MMA,"Thửa 720 - Tờ 22 Trung Lập, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",1950000.0,11.94,Đất,8.55m,20.41m,Đông Bắc
SKUNP5,"Thửa 721 - Tờ 22 Trung Lập, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",1950000.0,11.78,Đất,8m,21.65m,Đông Bắc
W2FAXR,"Thửa 722 - Tờ 22 Trung Lập, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",1950000.0,11.25,Đất,8m,24.9m,Đông Bắc
DFY28H,"379/76 Thống Nhất, P.11, Q.Gò Vấp, TP.HCM",6800000.0,109.5,Đất,4.21m,14.62m,Đông
DF73CH,"Thửa 738 - Tờ 20 Đông Thạnh 3, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",1990000.0,24.81,Đất,6.56m,12.35m,Tây Bắc
W2B7VR,"Nguyễn Oanh, P.17, Q.Gò Vấp, TP.HCM",25000000.0,117.64,Đất,12.5m,17m,Tây
8APCE3,"D8, P.Thuận Giao, TP.Thuận An, TP.HCM",11370000.0,34.27,Đất,10m,33m,Nam
9XDYYP,"đường 6D, Xã Vĩnh Lộc B, H.Bình Chánh, TP.HCM",19500000.0,22.26,Đất,12m,73.34m,Tây
UH2D9S,"110 TL 37, Thạnh Lộc, Q.12, TP.HCM",3850000.0,74.03,Đất,4m,13m,Đông Bắc
QD06NU,"Thửa 633-1 - tờ 12 Hiệp Thành 13, P.Hiệp Thành, Q.12, TP.HCM",4390000.0,51.34,Đất,5m,21.01m,Đông Nam
8AR2X3,"Quách Điêu, Xã Vĩnh Lộc A, H.Bình Chánh, TP.HCM",12600000.0,28.0,Đất,18m,25m,Đông Nam
QDR8VU,"Thạnh Xuân 24, P.Thạnh Xuân, Q.12, TP.HCM",3300000.0,37.33,Đất,4m,22.1m,Đông Bắc
GV6EP2,"Một phần số 219/16 đường Tô Ngọc Vân, P.Thạnh Xuân, Q.12, TP.HCM",4980000.0,47.56,Đất,5m,20.81m,Đông Nam
CJ93TB,"Thửa 614 - tờ 77 Quốc Lộ 1A, P.An Phú Đông, Q.12, TP.HCM",3100000.0,59.04,Đất,4m,13.13m,Bắc
7BEDNA,"Thửa 1194 - Tờ 23 Thạnh Xuân 33, P.Thạnh Xuân, Q.12, TP.HCM",4850000.0,39.2,Đất,5m,24.81m,Đông
21MCVZ,"Thửa 790 - Tờ 6 Võ Văn Hát, Long Trường, Q.9, TP.HCM",16250000.0,65.81,Đất,10m,25m,Đông Bắc
4P0QYF,"Thửa 28 - tờ 7 Nguyễn Văn Khạ, Xã Tân An Hội, H.Củ Chi, TP.HCM",4000000.0,9.75,Đất,9.8m,40m,Đông Nam
1S1JN6,"Thửa 621 - Tờ 68 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1700000.0,7.21,Đất,5m,47m,Đông Bắc
JZJZ50,"Thửa 704 - tờ 27 đường 65, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",8700000.0,12.47,Đất,10.8m,68.4m,Tây Bắc
0TJJQ9,"Một phần nhà số 17B (Thửa 547 - Tờ 149) đường số 1A, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",7000000.0,78.47,Đất,4m,22.32m,Đông
49B2UF,"Thửa 1372 - tờ 12 Thạnh Lộc 39, P.Thạnh Lộc, Q.12, TP.HCM",13800000.0,37.57,Đất,12.29m,27.68m,Tây Bắc
1SM546,"Thửa 853 - Tờ 9 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",1250000.0,16.49,Đất,8m,9.25m,Tây Bắc
7CQWBA,"Thửa 1398 - tờ 5 Trung Lập, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1600000.0,1.99,Đất,16.07m,50.71m,Tây Bắc
7CQFRA,"Thửa 709 - tờ 74 Nhuận Đức, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2400000.0,15.05,Đất,8.18m,20.27m,Đông Bắc
WGBTFR,"Thửa 151 - tờ 16 Trung Lập, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",4600000.0,3.17,Đất,20.26m,34.21m,Tây
UDVJ2S,"Thửa 670 - Tờ 67 đường số 1, Xã Vĩnh Lộc A, H.Bình Chánh, TP.HCM",6000000.0,48.97,Đất,4m,30.6m,Tây
9NH0RP,"đường Giồng Cát, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",680.0,3.79,Đất,5m,35.88m,Đông
UDP9FS,"Thửa 689 - tờ 19 đường 416, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",2900000.0,14.5,Đất,7.4m,22.11m,Tây Nam
R2UXFJ,"Thửa 915 - tờ 28 Tỉnh Lộ 8, Xã Hòa Phú, H.Củ Chi, TP.HCM",2049999.9999999998,20.13,Đất,6.01m,17.65m,Đông Bắc
KWNPYC,"Thửa 355 - tờ 9 Tỉnh Lộ 15, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",13000000.0,3.02,Đất,43.06m,99.6m,Tây Nam
SH0HP5,"Thửa 1030 - Tờ 142 Kênh Tiêu, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",4900000.0,52.74,Đất,5m,18.5m,Tây
E0V0P4,"Thửa 1031 - Tờ 142 Kênh Tiêu, Xã Xuân Thới Thượng, H.Hóc Môn, TP.HCM",6200000.0,60.37,Đất,5.5m,18.5m,Tây
65B9K8,"Thửa 688 - tờ 21 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",2100000.0,11.38,Đất,10.54m,23.54m,Đông Bắc
87EEG3,"Thửa 564 - tờ 3 Tân An Hội, Xã Tân An Hội, H.Củ Chi, TP.HCM",2550000.0,10.42,Đất,6.3m,38.81m,Đông Nam
D4PYQH,"Thửa 793 - Tờ 32 đường 409, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",1850000.0,20.5,Đất,5m,18.12m,Tây Nam
QYC0PU,"Thửa 517 - Tờ 28 đường số 17, Bình Trưng Đông, Q.2, TP.HCM",13800000.0,164.09,Đất,4m,21.09m,Tây Bắc
UDKZFS,"Thửa 601 - Tờ 2 đường 500, Xã Phạm Văn Cội, H.Củ Chi, TP.HCM",2200000.0,6.77,Đất,6.5m,49.96m,Đông Nam
7CBJHA,"Thửa 894 - tờ 51 Hà Duy Phiên, Xã Bình Mỹ, H.Củ Chi, TP.HCM",2049999.9999999998,19.05,Đất,5.01m,21.71m,Đông Nam
QYDS9U,"Thửa 702 - tờ 4 đường Võ Thị Thừa, P.An Phú Đông, Q.12, TP.HCM",2950000.0,54.62,Đất,4.5m,12m,Bắc
QYA21U,"đường Vườn Thơm, Xã Bình Lợi, H.Bình Chánh, TP.HCM",7000000.0,24.66,Đất,9m,31.57m,Đông Nam
7CD69A,"Thửa 809 - tờ 29 Suối Lội, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",6900000.0,25.42,Đất,8m,34.83m,Đông Nam
3AS78Q,"Thửa 702 - tờ 7 đường số 25, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",20000000.0,15.89,Đất,27.32m,47.31m,Đông Bắc
SH73N5,"Thửa 716 - tờ 156 Suối Lội, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",1850000.0,16.41,Đất,5m,22.65m,Tây Nam
QYS6DU,"Thửa 715 - tờ 156 Suối Lội, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",1850000.0,16.41,Đất,5m,22.65m,Tây Nam
YEHSMD,"Thửa 615 - tờ 30 Giồng Cát, TT.Củ Chi, H.Củ Chi, TP.HCM",3200000.0,22.22,Đất,6m,26.81m,Đông Nam
UD56KS,"Thửa 911 - tờ 30 Suối Lội, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2200000.0,19.59,Đất,5m,22.46m,Nam
PX2W6G,"Thửa 802 - tờ 11 Phước Thạnh, Xã Phước Thạnh, H.Củ Chi, TP.HCM",1650000.0,8.76,Đất,5m,38.06m,Tây Nam
3AUXGQ,"Thửa 587 - tờ 19 ấp Thượng, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",4800000.0,13.81,Đất,10.96m,31.79m,Tây Bắc
GMZ4M2,"Thửa 332 - tờ 52 ấp Tân Tiến, TT.Củ Chi, H.Củ Chi, TP.HCM",4000000.0,14.04,Đất,5.95m,46.87m,Tây Nam
0ZJ279,"Thửa 707 - tờ 7 đường 572, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1300000.0,14.06,Đất,5m,18.06m,Tây
376J9Q,"Thửa 540 - tờ 33 ấp 5, Xã Bình Mỹ, H.Củ Chi, TP.HCM",4300000.0,10.57,Đất,6m,67.93m,Tây Nam
EJH1J4,"Thửa 765 - tờ 53 Tô Ngọc Vân, P.Thạnh Xuân, Q.12, TP.HCM",3650000.0,39.67,Đất,4m,23m,Đông Nam
7K3M1A,"Thửa 1208 - tờ 97 Hiệp Thành 45, P.Tân Thới Hiệp, Q.12, TP.HCM",4250000.0,67.78,Đất,4m,16m,Đông Nam
7K86MA,"Thửa 1224 - tờ 19 Bình Mỹ, Xã Bình Mỹ, H.Củ Chi, TP.HCM",2200000.0,17.6,Đất,5m,25m,Đông Nam
UYX3PS,"Thửa 1119 - tờ 26 Lê Thị Riêng, P.Thới An, Q.12, TP.HCM",5700000.0,61.02,Đất,5.16m,17.58m,Bắc
PNEJHG,"Thửa 688 - tờ 30 Trung Lập, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",3100000.0,1.94,Đất,15.41m,107.73m,Đông Nam
5HVQC7,"Thửa 827 - tờ 112 Trung Lập, Xã Trung Lập Thượng, H.Củ Chi, TP.HCM",1800000.0,9.73,Đất,5.99m,31.06m,Đông
85ZM23,"Thửa 187 - tờ 20 Tỉnh Lộ 8, Xã Hòa Phú, H.Củ Chi, TP.HCM",17000000.0,12.19,Đất,14.78m,99.11m,Nam
J2KB80,"Thửa 608 - tờ 43 Bình Mỹ, Xã Bình Mỹ, H.Củ Chi, TP.HCM",4500000.0,41.24,Đất,4.7m,26.07m,Nam
DEVNCH,"8/58 ( Thửa 828 - tờ 20) Thạnh Xuân 40, P.Thạnh Xuân, Q.12, TP.HCM",4500000.0,52.26,Đất,5.18m,17.97m,Tây Nam
DEM8JH,"Thửa 816 - tờ 28 đường số 18, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",3000000.0,19.74,Đất,5m,30.38m,Tây Bắc
0ZADU9,"Thửa 70 - tờ 67 An Nhơn Tây, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",3900000.0,2.43,Đất,71.03m,25.41m,Nam
QAP92U,"Thửa 636 - tờ 30 Trung Lập, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",3100000.0,1.93,Đất,15.01m,112.06m,Đông Nam
37J6EQ,"Thửa 684 - tờ 50 Nhuận Đức, Xã Nhuận Đức, H.Củ Chi, TP.HCM",1250000.0,10.77,Đất,5m,23.39m,Tây
6SWVA8,"Thửa 683 - tờ 50 Nhuận Đức, Xã Nhuận Đức, H.Củ Chi, TP.HCM",1250000.0,10.97,Đất,5m,23.39m,Tây
5HG147,"Thửa 376 - tờ 15 Đông Thạnh, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",2800000.0,19.64,Đất,5.04m,28.91m,Đông Bắc
J2SMG0,"Thửa 537 - tờ 48 Nhuận Đức, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2300000.0,8.1,Đất,9.73m,28.93m,Bắc
QA0H4U,"3/28D ( Thửa 513 - tờ 97 ) Bình Gĩa, P.13, Q.Tân Bình, TP.HCM",4800000.0,132.96,Đất,3.3m,12.3m,Đông Nam
854673,"Thửa 533 - tờ 72 đường 501, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2350000.0,8.08,Đất,6m,49.24m,Bắc
5H0T47,"Thạnh Lộc 27, P.Thạnh Lộc, Q.12, TP.HCM",8199999.999999999,24.06,Đất,3.91m,27.44m,Tây Nam
YB9R1D,"Thửa 932 - tờ 9 Lê Thị Riêng, P.Thới An, Q.12, TP.HCM",4800000.0,59.18,Đất,5.07m,16.74m,Đông Bắc
2MSMSZ,"Thửa 792 - tờ 63 Huỳnh Thị Na, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",3990000.0,47.16,Đất,5.02m,16.99m,Đông
DE93XH,"Thạnh Xuân 22, P.Thạnh Xuân, Q.12, TP.HCM",6450000.0,87.39,Đất,5.02m,14.94m,Tây Nam
5HWXR7,"Thửa 606 - tờ 14 Võ Thị Bàng, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",7950000.0,5.65,Đất,15m,94.83m,Đông Nam
KFG8PC,"Thửa 584 - tờ 45 đường 490, Xã Phạm Văn Cội, H.Củ Chi, TP.HCM",2400000.0,9.56,Đất,5m,50.54m,Đông Nam
UY4KVS,"Thửa 1243 - tờ 1 Hồ Thị Lai, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",730.0,3.85,Đất,7m,27.37m,Nam
PN3ZMG,"Thạnh Xuân 24, P.Thạnh Xuân, Q.12, TP.HCM",1750000.0,13.4,Đất,4.47m,30.09m,Tây Bắc
QABQQU,"Thửa 727 - tờ 58 ấp 7, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1800000.0,20.2,Đất,7.4m,12.28m,Tây Nam
PN8F9G,"Thửa 711 - tờ 74 Nhuận Đức, Xã Nhuận Đức, H.Củ Chi, TP.HCM",1150000.0,13.26,Đất,5.87m,15.03m,Tây Bắc
EJZ5K4,"Thửa 576 - tờ 226, Hẻm 38 Gò Xoài, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",4350000.0,66.82,Đất,7.77m,8.72m,Đông Nam
ACWECY,"Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",2350000.0,41.96,Đất,4m,14m,Tây Nam
UYCEUS,"Thửa 80 - tờ 51 Phú Thuận, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",15000000.0,4.47,Đất,21m,161.58m,Đông Nam
SDB415,"Thửa 612 - tờ 13 đường 65, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",5900000.0,13.07,Đất,11.95m,38.13m,Tây Bắc
EJGZ84,"Thửa 629 - tờ 70 Gốc Rưng, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",2250000.0,2.19,Đất,16.61m,67.83m,Đông Nam
SDBE65,"Thửa 623 - tờ 53 đường 521, Xã Nhuận Đức, H.Củ Chi, TP.HCM",2450000.0,14.66,Đất,7.86m,21.65m,Đông
5HE4Y7,"Thửa 569 - tờ 89, Một phần nhà số 168/61 Chiến Lược, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5100000.0,63.59,Đất,4m,20.01m,Đông
2M693Z,"Thửa 1116 - tờ 60, đường Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",2980000.0,46.7,Đất,4m,16.13m,Tây
DEW36H,"Thạnh Lộc 15, P.An Phú Đông, Q.12, TP.HCM",3300000.0,62.38,Đất,4m,13.25m,Tây Bắc
9TMYJP,"Thửa 609 - tờ 45 đường 762, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1400000.0,9.15,Đất,9.96m,15.88m,Tây Bắc
