Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
DE0PWH,"216 Thạnh Lộc 31, P.An Phú Đông, Q.12, TP.HCM",7500000.0,143.95,Nhà mặt tiền,4m,13.09m,Tây Nam,4.0,5.0,5.0,52.10m²,186.20m²,10m,,
CWJ3TB,"32 đường số  3B, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",5350000.0,112.86,Nhà mặt tiền,3.73m,12.73m,Tây,3.0,2.0,3.0,47.40m²,,7m,,
2MXHNZ,"179 đường số 3, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",10800000.0,191.82,Nhà mặt tiền,4m,14.15m,Tây Nam,3.0,3.0,3.0,56.30m²,161.70m²,10m,,
SDYK35,"76 Nguyễn Văn Vỹ, P.12, Q.Tân Bình, TP.HCM",5450000.0,150.13,Nhà mặt tiền,3m,9.1m,Đông,3.0,3.0,3.0,36.30m²,55.30m²,,,
35GBJQ,"Duy Tân, P.15, Q.Phú Nhuận, TP.HCM",3680000.0,219.04,Nhà mặt tiền,3.35m,5.1m,Đông Nam,2.0,1.0,2.0,16.80m²,33.60m²,6m,,
Q74WEU,"626 Lê Trọng Tấn, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",16000000.0,149.95,Nhà mặt tiền,5m,21.67m,Tây Nam,3.0,3.0,3.0,106.70m²,219.20m²,30m,,Sổ riêng
5DRD67,"71 Tân Hiệp 9, TT.Hóc Môn, H.Hóc Môn, TP.HCM",9600000.0,38.4,Nhà mặt tiền,8.3m,30m,Tây Bắc,1.0,1.0,2.0,250m²,,13m,,
2X17JZ,"79 Nguyễn Văn Công, P.3, Q.Gò Vấp, TP.HCM",14200000.0,237.45,Nhà mặt tiền,4.03m,15.06m,Tây Bắc,9.0,9.0,5.0,59.80m²,212.20m²,8m,,
W9PQER,"159 Lương Ngọc Quyến, P.5, Q.Gò Vấp, TP.HCM",2480000.0,103.33,Nhà mặt tiền,4m,6.55m,Tây Bắc,1.0,1.0,2.0,24m²,,3m,,
5YVFT7,"126 Thân Nhân Trung, P.13, Q.Tân Bình, TP.HCM",13700000.0,250.0,Nhà mặt tiền,4.12m,13.23m,Tây Bắc,4.0,4.0,4.0,54.50m²,183.23m²,8m,Cơ bản,
PN4WAG,"437 Âu Cơ, P.Phú Trung, Q.Tân Phú, TP.HCM",7300000.0,150.2,Nhà mặt tiền,2.8m,22.9m,Đông Bắc,2.0,1.0,2.0,48.60m²,84.60m²,10m,,
1UUDK6,"650 Hà Huy Giáp, P.Thạnh Lộc, Q.12, TP.HCM",6800000.0,101.82,Nhà mặt tiền,3.5m,19.08m,Tây Bắc,2.0,2.0,1.0,66.78m²,,,,
EBBX4W,"đường An Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM",48000000.0,104.85,Nhà mặt tiền,9.03m,58.66m,Đông,1.0,1.0,1.0,438m²,,,,
5H0QP7,"42 Tân Thới Nhất 1, P.Tân Thới Nhất, Q.12, TP.HCM",7500000.0,170.84,Nhà mặt tiền,4m,22m,Tây Bắc,1.0,1.0,1.0,43.90m²,43.90m²,,,
37CSTQ,"21 đường số 1, P.10, Q.Tân Bình, TP.HCM",7790000.0,187.71,Nhà mặt tiền,3.74m,11.16m,Tây Bắc,3.0,2.0,2.0,41.50m²,83m²,10m,,
37DGKQ,"39 Nguyễn Văn Yến, P.Tân Thới Hòa, Q.Tân Phú, TP.HCM",8800000.0,87.12,Nhà mặt tiền,4.05m,18m,Nam,2.0,2.0,2.0,101m²,98.82m²,,,
J2ZCR0,"136 Đinh Tiên Hoàng, P.Đa Kao, Q.1, TP.HCM",18900000.0,465.51,Nhà mặt tiền,3m,13.6m,Tây Nam,9.0,2.0,4.0,40.60m²,98.40m²,20m,,
YCJNYD,"290 Phú Thọ Hoà, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",18000000.0,220.23,Nhà mặt tiền,4m,21.1m,Tây Nam,6.0,4.0,4.0,84.70m²,265.50m²,12m,,
U784MS,"122 Nguyễn Hữu Tiến, P.Tây Thạnh, Q.Tân Phú, TP.HCM",13500000.0,179.04,Nhà mặt tiền,4.05m,18.61m,Tây Nam,5.0,4.0,5.0,75.40m²,325.90m²,12m,,
EJF0Q4,"149 Âu Dương Lân, P.Rạch Ông, Q.8, TP.HCM",7380000.0,279.54,Nhà mặt tiền,2.93m,9.25m,Tây Bắc,4.0,3.0,4.0,26.40m²,25.80m²,8m,,
PX1JNG,"14 đường số 223, Xã Bình Mỹ, H.Củ Chi, TP.HCM",6050000.0,45.55,Nhà mặt tiền,7.08m,19.98m,Đông Nam,4.0,6.0,4.0,132.80m²,,7m,Đầy đủ,
37REVQ,"100 Võ Thị Phải, P.Thới An, Q.12, TP.HCM",7900000.0,65.61,Nhà mặt tiền,5.4m,31.57m,Tây Bắc,6.0,6.0,1.0,120.40m²,,12m,,
5HHBC7,"156A Nguyễn Súy, P.Tân Quý, Q.Tân Phú, TP.HCM",10900000.0,219.71,Nhà mặt tiền,3.9m,12.7m,Tây Bắc,4.0,5.0,5.0,49.61m²,195.12m²,12m,,
85SDN3,"215A Phùng Văn Cung, P.4, Q.Phú Nhuận, TP.HCM",18000000.0,346.15,Nhà mặt tiền,4.65m,11.05m,Đông Bắc,4.0,6.0,6.0,50.80m²,,7.25m,,
3SNN6Q,"136 Nguyễn Hữu Tiến, P.Tây Thạnh, Q.Tân Phú, TP.HCM",10500000.0,141.89,Nhà mặt tiền,3.1m,23.73m,Tây Nam,5.0,5.0,6.0,74m²,400.40m²,15m,,
3SPAWQ,"100 Thiên Phước, P.9, Q.Tân Bình, TP.HCM",15600000.0,256.15,Nhà mặt tiền,4.2m,12.8m,Đông Nam,3.0,4.0,4.0,60.90m²,199.47m²,15m,Đầy đủ,
4MJKF5,"Liên Khu 1-6, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",8400000.0,126.47,Nhà mặt tiền,4m,17m,Tây,4.0,3.0,5.0,68m²,190.90m²,5m,Cơ bản,
0Z50F9,"79 đường số 5, P.Bình Chiểu, TP.Thủ Đức, TP.HCM",12000000.0,69.0,Nhà mặt tiền,10m,20m,Đông Bắc,3.0,3.0,1.0,173.90m²,126.90m²,,,
5HRBS7,"157 đường số 6, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM",8500000.0,91.49,Nhà mặt tiền,4.13m,24.18m,Bắc,9.0,9.0,6.0,92.90m²,385.95m²,12m,,
6SKKQ8,"39L Hiệp Thành 06, P.Hiệp Thành, Q.12, TP.HCM",6850000.0,68.36,Nhà mặt tiền,5.15m,19.45m,Tây Bắc,1.0,1.0,1.0,100.20m²,78.30m²,10m,,
SDC1W5,"14A đường số 5A, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",8900000.0,165.12,Nhà mặt tiền,4.48m,15.82m,Tây,4.0,5.0,5.0,53.90m²,225.80m²,5.31m,,
YBCW7D,"155 Nguyễn Lộ Trạch, P.Tân Quý, Q.Tân Phú, TP.HCM",11000000.0,145.69,Nhà mặt tiền,5.53m,12.17m,Đông,4.0,3.0,3.0,75.50m²,159.30m²,5.18m,,
1QYFC6,"đường Số 2, P.16, Q.Gò Vấp, TP.HCM",7900000.0,168.44,Nhà mặt tiền,3.9m,18.05m,Tây Bắc,2.0,2.0,2.0,46.90m²,93.30m²,4.3m,,
8UMST3,"đường 26/3, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",12200000.0,107.29,Nhà mặt tiền,4.04m,28.34m,Đông Nam,2.0,1.0,2.0,113.70m²,,6m,,
Q5ZNBU,"1 đường số 3, P.Tân Tạo A, Q.Bình Tân, TP.HCM",6700000.0,67.06,Nhà mặt tiền,8m,13.54m,Tây,6.0,6.0,2.0,99.90m²,,4.75m,,
1QD4H6,"24 đường số 10, P.Bình Thuận, Q.7, TP.HCM",31500000.0,157.5,Nhà mặt tiền,8.8m,25.02m,Nam,2.0,2.0,2.0,200m²,277.70m²,16m,,Sổ riêng
YCBX4D,"26 Lý Thường Kiệt, P.6, Q.10, TP.HCM",32500000.0,514.24,Nhà mặt tiền,3.8m,17.04m,Tây Nam,8.0,6.0,6.0,63.20m²,360.40m²,15m,,
UAVU9S,"98 Nguyễn Du, P.7, Q.Gò Vấp, TP.HCM",18500000.0,163.86,Nhà mặt tiền,4.18m,27.3m,Tây Nam,11.0,11.0,6.0,112.90m²,414.90m²,10m,,
6QX408,"375 Nguyễn Sơn, P.Phú Thạnh, Q.Tân Phú, TP.HCM",7300000.0,154.33,Nhà mặt tiền,3.9m,13.3m,Bắc,2.0,2.0,3.0,47.30m²,121.60m²,24m,,
GUKH2N,"đường 275, P.Hiệp Phú, TP.Thủ Đức, TP.HCM",6800000.0,90.06,Nhà mặt tiền,5.7m,17.5m,Tây Nam,3.0,2.0,1.0,75.50m²,68.40m²,4.7m,Cơ bản,
AC6G7Y,"342 Lê Văn Sỹ, P.2, Q.Tân Bình, TP.HCM",79000000.0,284.67,Nhà mặt tiền,6.5m,34.7m,Nam,3.0,1.0,2.0,277.51m²,192.57m²,,,
5HAFR7,"5 Vũ Chí Hiếu, P.13, Q.5, TP.HCM",21000000.0,476.19,Nhà mặt tiền,3.9m,13.3m,Bắc,3.0,2.0,3.0,44.10m²,80.40m²,12m,,
UH12MS,"Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",7800000.0,162.5,Nhà mặt tiền,8m,6m,Đông,3.0,4.0,4.0,48m²,,,,
YBHWYD,"2 đường số 19, Thạnh Mỹ Lợi, Q.2, TP.HCM",9500000.0,78.18,Nhà mặt tiền,7.04m,16m,Nam,2.0,1.0,1.0,121.50m²,94.38m²,6m,,Sổ riêng
5H6MS7,"đường số 10, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",9500000.0,115.99,Nhà mặt tiền,7.98m,13.43m,Đông Nam,4.0,4.0,2.0,81.90m²,173m²,5.19m,,Sổ riêng
QAPQTU,"Hương Lộ 2, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",13900000.0,127.52,Nhà mặt tiền,3.95m,41.99m,Tây Nam,5.0,5.0,4.0,109m²,292.90m²,12m,,
37U4DQ,"94B1 Phùng Văn Cung, P.7, Q.Phú Nhuận, TP.HCM",26500000.0,350.06,Nhà mặt tiền,4.56m,17.1m,Tây Nam,11.0,11.0,7.0,75.70m²,,,,
8SY2Q3,"498 Mã Lò, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",14500000.0,172.82,Nhà mặt tiền,4.01m,25m,Tây Nam,4.0,3.0,2.0,83.90m²,132m²,9m,,Sổ riêng
9T709P,"10F Nguyễn Thị Thơi, P.Hiệp Thành, Q.12, TP.HCM",9800000.0,122.34,Nhà mặt tiền,4.1m,25m,Tây Bắc,2.0,2.0,1.0,80.10m²,77.10m²,,,
CWE5QB,"29 Nguyễn Phúc Nguyên, P.10, Q.3, TP.HCM",7500000.0,438.59,Nhà mặt tiền,3.43m,5.06m,Đông,4.0,5.0,5.0,17.10m²,,2.85m,,
J2VUS0,"6 đường số 20, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",5450000.0,95.95,Nhà mặt tiền,4.02m,13.95m,Tây Bắc,2.0,2.0,2.0,56.80m²,75.50m²,8m,,
PT9Y2G,"64 Nguyễn Súy, P.Tân Quý, Q.Tân Phú, TP.HCM",15800000.0,217.03,Nhà mặt tiền,4m,18.2m,Tây Bắc,5.0,6.0,4.0,72.80m²,243.80m²,10m,,
YK336D,"172A Lê Sát, P.Tân Quý, Q.Tân Phú, TP.HCM",6400000.0,198.14,Nhà mặt tiền,3.3m,12m,Tây,2.0,2.0,2.0,32.30m²,64.70m²,10m,,
5YVMS7,"340 đường Huỳnh Văn Bánh, P.10, Q.Phú Nhuận, TP.HCM",17000000.0,366.66,Nhà mặt tiền,4.75m,9.3m,Nam,3.0,3.0,5.0,38.60m²,141.20m²,,,
85N6N3,"10 đường TK8, Xã Bà Điểm, H.Hóc Môn, TP.HCM",7900000.0,79.0,Nhà mặt tiền,5m,20m,Tây Bắc,2.0,2.0,3.0,100m²,103m²,12m,,
E9WMC4,"667 Tân Sơn, P.12, Q.Gò Vấp, TP.HCM",13900000.0,217.18,Nhà mặt tiền,4.2m,16m,Tây Bắc,4.0,6.0,5.0,64m²,,10m,Đầy đủ,
EJTWP4,"232 Phạm Ngũ Lão, P.7, Q.Gò Vấp, TP.HCM",7350000.0,165.16,Nhà mặt tiền,3.5m,12.73m,Tây Nam,2.0,1.0,2.0,44.50m²,63.80m²,,,
4J0V8F,"108 đường số 3, P.9, Q.Gò Vấp, TP.HCM",8199999.999999999,223.43,Nhà mặt tiền,4.15m,14m,Tây Bắc,2.0,3.0,4.0,36.70m²,118.60m²,5.2m,,
6QT5C8,"đường số 19, P.Bình Trị Đông B, Q.Bình Tân, TP.HCM",15700000.0,174.44,Nhà mặt tiền,4.5m,20m,Nam,4.0,4.0,4.0,90m²,244.80m²,16m,,Sổ riêng
2MS17Z,"124 Lê Niệm, P.Phú Thạnh, Q.Tân Phú, TP.HCM",10500000.0,116.15,Nhà mặt tiền,6.05m,14.95m,Nam,1.0,1.0,1.0,90.40m²,77.40m²,12m,,
0G1FW9,"47-47A đường Lý Chiêu Hoàng, P.10, Q.6, TP.HCM",33500000.0,107.47,Nhà mặt tiền,7.98m,38m,Đông Bắc,5.0,5.0,5.0,277.40m²,634.30m²,24m,Cơ bản,
7KRMEA,"177 đường CN 11, P.Sơn Kỳ, Q.Tân Phú, TP.HCM",8300000.000000001,139.96,Nhà mặt tiền,4m,14.7m,Đông Nam,2.0,2.0,2.0,59.30m²,127m²,15.5m,,
AC4BBY,"205 Thoại Ngọc Hầu, P.Phú Thạnh, Q.Tân Phú, TP.HCM",38000000.0,198.84,Nhà mặt tiền,7.1m,28.5m,Đông Bắc,45.0,45.0,8.0,191.10m²,,15m,,Sổ riêng
Q56BZU,"241 Dương Quảng Hàm, P.6, Q.Gò Vấp, TP.HCM",14000000.0,253.16,Nhà mặt tiền,3.6m,15.17m,Đông Bắc,3.0,3.0,4.0,55.30m²,207.20m²,20m,,
7D03DA,"28H đường số 9A, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",8400000.0,97.44,Nhà mặt tiền,4m,22m,Đông Nam,6.0,4.0,3.0,86.20m²,186m²,6m,,
7EQKDA,"Huỳnh Tấn Phát, P.Phú Thuận, Q.7, TP.HCM",12600000.0,80.76,Nhà mặt tiền,4m,16m,Nam,3.0,3.0,2.0,156m²,66.20m²,10m,Đầy đủ,
7K729A,"87R Lê Văn Duyệt, P.1, Q.Bình Thạnh, TP.HCM",8180000.0,183.82,Nhà mặt tiền,2.13m,14.37m,Đông,3.0,3.0,3.0,44.50m²,95.90m²,15m,,Sổ riêng
1UPDZ6,"9B Vườn Lài nối dài, P.An Phú Đông, Q.12, TP.HCM",9800000.0,119.95,Nhà mặt tiền,4.6m,36.95m,Đông Bắc,4.0,2.0,2.0,81.70m²,163.40m²,10m,,
7HSJKA,"55 đường số 17B, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",11800000.0,112.38,Nhà mặt tiền,5m,21m,Tây Bắc,4.0,5.0,4.0,105m²,265.20m²,8m,,
GNCFY2,"1A Đường Thạch Thị Thanh, P.Tân Định, Q.1, TP.HCM",42000000.0,551.18,Nhà mặt tiền,7.1m,18.88m,Đông Bắc,7.0,7.0,5.0,76.20m²,,8m,,
Q7AQJU,"F12, đường Số 30, P.9, Q.4, TP.HCM",10500000.0,328.12,Nhà mặt tiền,4m,8.15m,Đông Bắc,5.0,3.0,5.0,32m²,133.70m²,12m,,Sổ riêng
2NP7NZ,"Phan Văn Hớn, P.Tân Thới Nhất, Q.12, TP.HCM",13500000.0,102.27,Nhà mặt tiền,3.95m,24m,Bắc,3.0,3.0,3.0,132m²,,10m,,
Q51A6U,"18 Đỗ Đức Dục, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",8600000.0,120.9,Nhà mặt tiền,5.25m,14.1m,Tây Bắc,3.0,2.0,2.0,71.13m²,90.16m²,8m,,
SDPUC5,"2/78B Bùi Thị Lùng, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",5500000.0,78.23,Nhà mặt tiền,5.33m,12.42m,Tây Bắc,2.0,1.0,1.0,70.30m²,48.90m²,10m,,
QACV1U,"A24 Khu dân cư Tạ Thị Ngọc Thảo Hoàng Quốc Việt, P.Phú Thuận, Q.7, TP.HCM",15800000.0,197.5,Nhà mặt tiền,5m,16m,Tây Nam,5.0,6.0,5.0,80m²,261.10m²,8m,,
5H4A67,"265A1 Nguyễn Văn Đậu, P.11, Q.Bình Thạnh, TP.HCM",12500000.0,217.39,Nhà mặt tiền,4.3m,16.17m,Đông Nam,7.0,6.0,6.0,57.50m²,226.10m²,,,
SD7625,"255 Huỳnh Văn Bánh, P.11, Q.Phú Nhuận, TP.HCM",16800000.0,391.6,Nhà mặt tiền,3m,14.3m,Bắc,4.0,4.0,3.0,42.90m²,128.70m²,,,
357S1Q,"67 đường Số 44, P.14, Q.Gò Vấp, TP.HCM",12900000.0,168.18,Nhà mặt tiền,4m,26m,Đông Bắc,6.0,4.0,3.0,76.70m²,210.50m²,6m,,
Q75ZKU,"1504 Trường Sa, P.3, Q.Tân Bình, TP.HCM",10550000.0,432.37,Nhà mặt tiền,4.4m,6.67m,Nam,3.0,3.0,4.0,24.40m²,82.30m²,10m,Cơ bản,
Q5Q5TU,"Bắc Hải, P.6, Q.Tân Bình, TP.HCM",10700000.0,356.66,Nhà mặt tiền,2.9m,20m,Đông Nam,2.0,2.0,2.0,30m²,72.40m²,5m,Cơ bản,
5HCDS7,"62 Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",7500000.0,125.2,Nhà mặt tiền,5m,12m,Đông Bắc,6.0,6.0,5.0,59.90m²,248.60m²,,,
PNAVXG,"560 Phạm Văn Chiêu, P.16, Q.Gò Vấp, TP.HCM",13900000.0,232.83,Nhà mặt tiền,3.82m,22.47m,Bắc,6.0,7.0,5.0,59.70m²,241.70m²,,,
PT8AKG,"99A Trần Văn Đang, P.9, Q.3, TP.HCM",3580000.0,246.89,Nhà mặt tiền,2.39m,6.38m,Bắc,3.0,4.0,4.0,14.50m²,14.50m²,4.35m,,
U7J8XS,"141 đường số 6, P.Bình Trưng Tây, TP.Thủ Đức, TP.HCM",31000000.0,96.0,Nhà mặt tiền,9.8m,33m,Đông,1.0,1.0,1.0,322.90m²,322.90m²,,Cơ bản,Sổ riêng
6SHFY8,"125 Huỳnh Văn Bánh, P.15, Q.Phú Nhuận, TP.HCM",11100000.0,458.67,Nhà mặt tiền,3.9m,6.3m,Tây Bắc,8.0,4.0,5.0,24.20m²,94.40m²,,,
6U7T98,"Hồng Hà, P.2, Q.Tân Bình, TP.HCM",12900000.0,490.49,Nhà mặt tiền,5.5m,5.1m,Nam,4.0,5.0,5.0,26.30m²,92.70m²,20m,,
GT0HT2,"Phạm Phú Thứ, P.11, Q.Tân Bình, TP.HCM",28000000.0,238.39,Nhà mặt tiền,4.05m,29m,Đông Bắc,13.0,13.0,5.0,117.45m²,447.64m²,10m,,
AHR31Y,"- 34 Cống Hộp Rạch Bùng Binh, P.10, Q.3, TP.HCM",15000000.0,495.04,Nhà mặt tiền,7m,5.8m,Tây Bắc,1.0,2.0,3.0,30.30m²,61.60m²,10m,,
1UDQ16,"Tam Đông 11, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",3500000.0,73.37,Nhà mặt tiền,5.6m,19.36m,Đông,2.0,1.0,1.0,47.70m²,32.50m²,6m,,Sổ riêng
W9EUGR,"138-138A Đường Lê Lai, P.Phạm Ngũ Lão, Q.1, TP.HCM",450000000.0,998.66,Nhà mặt tiền,12.85m,31.37m,Nam,1.0,3.0,3.0,450.60m²,393m²,,,
Q701GU,"46 đường số 4, P.11, Q.Gò Vấp, TP.HCM",8800000.0,185.26,Nhà mặt tiền,3.5m,15.63m,Tây Bắc,3.0,4.0,4.0,47.50m²,118.60m²,4.11m,,
AHS01Y,"đường số 12, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",7150000.0,123.06,Nhà mặt tiền,4.43m,13.17m,Đông Bắc,3.0,5.0,2.0,58.10m²,118.90m²,10m,,
CFZV4B,"11 Đỗ Thị Tâm, P.Tân Quý, Q.Tân Phú, TP.HCM",6300000.0,108.62,Nhà mặt tiền,3.95m,14.8m,Đông,3.0,2.0,2.0,58m²,,8m,,Sổ riêng
37Y51Q,"177 Phạm Văn Đồng, P.1, Q.Gò Vấp, TP.HCM",12300000.0,247.48,Nhà mặt tiền,3.96m,16.48m,Đông Nam,5.0,3.0,4.0,49.70m²,170.90m²,,,
CW4U6B,"453 Nguyễn Văn Khối, P.12, Q.Gò Vấp, TP.HCM",35500000.0,185.66,Nhà mặt tiền,8.03m,26.45m,Đông Bắc,1.0,1.0,2.0,191.20m²,155.34m²,7.82m,,
U73BTS,"48 Nguyễn Văn Lượng, P.17, Q.Gò Vấp, TP.HCM",12000000.0,335.19,Nhà mặt tiền,3.5m,12.7m,Nam,4.0,5.0,4.0,35.80m²,105.90m²,18m,,
2MDJPZ,"485/2 Lê Trọng Mân, TT.Cần Thạnh, H.Cần Giờ, TP.HCM",6800000.0,70.1,Nhà mặt tiền,6m,17.95m,Đông Nam,3.0,2.0,2.0,97m²,,10m,,
7D6WBA,"57 đường số 35, P.Hiệp Bình Chánh, TP.Thủ Đức, TP.HCM",8189999.999999999,109.2,Nhà mặt tiền,7.94m,9.49m,Đông Bắc,4.0,3.0,3.0,75m²,141.19m²,4m,,
02ERS9,"Nam Kỳ Khởi Nghĩa, P.Võ Thị Sáu, Q.3, TP.HCM",11000000.0,692.44,Nhà mặt tiền,2.45m,7.2m,Đông,3.0,4.0,5.0,17.20m²,86.40m²,,,
UAMPYS,"Diệp Minh Châu, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",13000000.0,144.28,Nhà mặt tiền,4.43m,24.15m,Tây Bắc,2.0,2.0,2.0,90.10m²,121.80m²,20m,,
AKXM4Y,"105/12 Đường TL 37, P.Thạnh Lộc, Q.12, TP.HCM",2750000.0,58.76,Nhà mặt tiền,2.68m,16.23m,Tây Bắc,1.0,1.0,1.0,46.80m²,,4.78m,,
W9F72R,"7 đường số 16, Xã Phong Phú, H.Bình Chánh, TP.HCM",11500000.0,94.41,Nhà mặt tiền,6.99m,19m,Bắc,9.0,9.0,6.0,121.80m²,361.20m²,,,
CYSSBC,"Huỳnh Tấn Phát, P.Phú Mỹ, Q.7, TP.HCM",18500000.0,85.71,Nhà mặt tiền,7.47m,30.64m,Tây,1.0,1.0,2.0,82.60m²,122.80m²,15m,,
AFG0FY,"9 đường số 37, P.4, Q.4, TP.HCM",15800000.0,303.84,Nhà mặt tiền,5.3m,10.5m,Tây Nam,6.0,5.0,4.0,52m²,,,,
U73NAS,"432 Trần Văn Giàu, P.Tân Tạo, Q.Bình Tân, TP.HCM",11500000.0,141.97,Nhà mặt tiền,4.5m,18m,Nam,1.0,1.0,1.0,81m²,81m²,,,Sổ riêng
U72F2S,"16 đường số 4, Xã Phước Lộc, H.Nhà Bè, TP.HCM",14500000.0,109.84,Nhà mặt tiền,11m,12m,Đông Nam,4.0,4.0,3.0,132m²,219.20m²,14m,Đầy đủ,
3YN42Q,"16 Nguyễn Thị Tươi, Tân Bình, Dĩ An, TP.HCM",2850000.0,48.3,Nhà mặt tiền,4.4m,,,2.0,2.0,1.0,,59m²,,,
ABBGXY,"2 đường số 23, Xã Phú Xuân, H.Nhà Bè, TP.HCM",15000000.0,89.55,Nhà mặt tiền,9m,20m,Đông Nam,4.0,3.0,3.0,167.50m²,252m²,10m,Đầy đủ,
8S5S03,"đường số 14, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",18800000.0,94.0,Nhà mặt tiền,8m,25.03m,Tây,1.0,2.0,2.0,200m²,284.80m²,12m,,
SAM225,"43 đường số 149A, P.Long Trường, TP.Thủ Đức, TP.HCM",8199999.999999999,82.0,Nhà mặt tiền,5m,20m,Nam,4.0,4.0,3.0,100m²,225m²,12m,,Sổ riêng
2GM4ZN,"Quốc Lộ 13, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",31500000.0,203.35,Nhà mặt tiền,6m,41.18m,Tây Nam,9.0,8.0,4.0,154.90m²,101.50m²,20m,,
JGF8E0,"60 Nguyên Hồng, P.1, Q.Gò Vấp, TP.HCM",6200000.0,140.9,Nhà mặt tiền,2.81m,12.89m,Tây Bắc,2.0,2.0,2.0,44m²,68.52m²,5.03m,,
4JNKAF,"66 đường số 18, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8600000.0,109.97,Nhà mặt tiền,4.03m,19.66m,Đông Bắc,2.0,2.0,1.0,78.20m²,,8m,,
6UBZ58,"Nguyễn Ngọc Nhựt, P.Tân Quý, Q.Tân Phú, TP.HCM",34000000.0,279.83,Nhà mặt tiền,8.02m,19.04m,Tây,24.0,24.0,7.0,121.50m²,869.60m²,8.1m,Đầy đủ,
49PM6F,"6 đường số 1, Xã Bình Hưng, H.Bình Chánh, TP.HCM",40000000.0,121.21,Nhà mặt tiền,15m,22m,Đông Nam,5.0,4.0,4.0,330m²,330m²,20m,Đầy đủ,
RP03UJ,"62 Nguyễn Quang Diêu, P.Tân Quý, Q.Tân Phú, TP.HCM",2100000.0,250.0,Nhà mặt tiền,2.54m,3.3m,Nam,1.0,1.0,2.0,8.40m²,19.80m²,10m,,
2134XZ,"49 Nguyễn Hữu Dật, P.Tây Thạnh, Q.Tân Phú, TP.HCM",10200000.0,127.15,Nhà mặt tiền,4m,20.3m,Đông,2.0,1.0,1.0,80.22m²,50.62m²,16m,,
AK5UEY,"23 Kênh Nước Đen, P.Tân Thành, Q.Tân Phú, TP.HCM",11900000.0,169.75,Nhà mặt tiền,5.74m,12.86m,Tây,4.0,3.0,3.0,70.10m²,187.30m²,,,
9T6B9P,"123 đường số 320 Bông Sao, P.5, Q.8, TP.HCM",11600000.0,181.25,Nhà mặt tiền,4m,16m,Bắc,5.0,6.0,4.0,64m²,207.30m²,10m,,
1QRHM6,"Bùi Văn Thêm, P.9, Q.Phú Nhuận, TP.HCM",25500000.0,314.03,Nhà mặt tiền,5.45m,17.13m,Đông Bắc,4.0,5.0,5.0,81.20m²,360.20m²,12m,,
QV1KUQ,"Lê Văn Khương, P.Hiệp Thành, Q.12, TP.HCM",14500000.0,143.56,Nhà mặt tiền,5m,20m,Bắc,8.0,8.0,6.0,101m²,,5m,,
YQCYD6,"5 Phan Huy Ôn, P.19, Q.Bình Thạnh, TP.HCM",22800000.0,290.07,Nhà mặt tiền,4.07m,20.57m,Tây Bắc,5.0,4.0,4.0,78.60m²,308.40m²,14m,,
5HMB27,"36/7B Ấp Thới Tây 1, TT.Hóc Môn, H.Hóc Môn, TP.HCM",3950000.0,34.86,Nhà mặt tiền,4m,29.13m,Đông,2.0,1.0,1.0,113.30m²,65.70m²,,,
YQCYD6,"5 Phan Huy Ôn, P.19, Q.Bình Thạnh, TP.HCM",22800000.0,290.07,Nhà mặt tiền,4.07m,20.57m,Tây Bắc,5.0,4.0,4.0,78.60m²,308.40m²,14m,,
5HMB27,"36/7B Ấp Thới Tây 1, TT.Hóc Môn, H.Hóc Môn, TP.HCM",3950000.0,34.86,Nhà mặt tiền,4m,29.13m,Đông,2.0,1.0,1.0,113.30m²,65.70m²,,,
